experiment_id,scenario,configuration,reset_default,admission_gate,commit_epoch,initial_state,reset_sequence,expected,observed,property_ids,result,classification,waveform,notes,git_commit
R11,Reset during pending DMA write,C0,fail-open,no,no,,global_reset_during_pending,pending cleared; no orphan commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R12,Reset/policy ALLOW→DENY during pending,C0,fail-open,no,no,,revoke_during_pending,Model A may complete authorized pending txn,MODEL_A_COMPLETE,SP-12A,OBSERVED,EXPECTED_MODEL_DIFFERENCE,,err=0,297df920dab05466b1fc3fc6711346364cd0c459
R13,Repeated reset pulses,C0,fail-open,no,no,,double_reset,no permissive window,blocked,"SP-08,SP-13",PASS,EXPECTED_BY_MODEL,,err=1; iopmp enabled post-reset,297df920dab05466b1fc3fc6711346364cd0c459
R14,Warm reset (config loss; sec/iopmp domains stay powered),C0,fail-open,no,no,,rule_invalidation_no_rst_n,protected access blocked,blocked,SP-13,PASS,EXPECTED_BY_MODEL,,domains: rule0_valid cleared; iopmp_enable remains set,297df920dab05466b1fc3fc6711346364cd0c459
R15,Reset immediately after secure_ready,C0,fail-open,no,no,,reset_after_secure_ready,no early unauthorized write,blocked,SP-08,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R16,secure_ready deasserts with pending DMA,C0,fail-open,no,no,,iopmp_disable_during_pending,config-dependent (Model A vs epoch),mem_changed,"SP-12A,SP-12B",OBSERVED,EXPECTED_MODEL_DIFFERENCE,/home/mmr/ricv_paper/results/m4/waveforms/m4_r16_c0_secure_ready_deassert.fst,err=0 cfg=C0,297df920dab05466b1fc3fc6711346364cd0c459
R1,DMA recovers before IOPMP/security configured,C1,fail-closed,no,no,post_reset_iopmp_enabled_unconfigured,none,no protected write before secure_ready,blocked,"SP-08,SP-13",PASS,EXPECTED_BY_MODEL,/home/mmr/ricv_paper/results/m4/waveforms/m4_r01_c1_dma_before_iopmp.fst,"dma_error=1; iopmp enabled, rule invalid",297df920dab05466b1fc3fc6711346364cd0c459
R2,IOPMP recovers before DMA,C1,fail-closed,no,no,,config_then_dma,authorized DMA succeeds after secure_ready,PASS,SP-14,PASS,EXPECTED_BY_MODEL,,,297df920dab05466b1fc3fc6711346364cd0c459
R3,Security configuration recovers last,C1,fail-closed,no,no,,pmp_iopmp_on_rule_delayed,pre-ready blocked; post-ready allowed,pre=blocked;post=ok,"SP-08,SP-13,SP-14",PASS,EXPECTED_BY_MODEL,/home/mmr/ricv_paper/results/m4/waveforms/m4_r03_c1_security_config_last.fst,err_pre=1 err_post=0,297df920dab05466b1fc3fc6711346364cd0c459
R4,DMA recovers last,C1,fail-closed,no,no,,secure_ready_then_dma,liveness once secure_ready stable,PASS,SP-14,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R5,CPU-only reset recovery stress,C1,fail-closed,no,no,,unprivileged_cpu_then_dma,unauth CPU blocked; DMA unaffected,cpu_blocked=True dma_err=0,"SP-02,SP-14",PASS,,,single global rst_n model; CPU transaction not reset-isolated,297df920dab05466b1fc3fc6711346364cd0c459
R6,DMA-only reset (global rst during DMA),C1,fail-closed,no,no,,global_reset_during_pending,pending cleared; no orphan commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R7,IOPMP-only reset (iopmp_enable=0),C1,fail-closed,no,no,,iopmp_disable,N/A when enable=0 bypasses IOPMP block,N/A,"SP-08,SP-13",N/A,EXPECTED_MODEL_DIFFERENCE,,fail-closed applies inside enabled IOPMP; enable=0 bypass documented,297df920dab05466b1fc3fc6711346364cd0c459
R8,Security-config-only invalidation,C1,fail-closed,no,no,,rule0_valid_clear,protected DMA denied without valid rule,blocked,"SP-11,SP-13",PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R9,Reset during authorized DMA,C1,fail-closed,no,no,,reset_mid_transaction_reconfig,no orphan unauthorized commit,PASS,SP-12,PASS,,/home/mmr/ricv_paper/results/m4/waveforms/m4_r09_c1_reset_during_auth_dma.fst,,297df920dab05466b1fc3fc6711346364cd0c459
R10,Reset during denied DMA,C1,fail-closed,no,no,,deny_then_reset,denied cannot become accepted via reset,PASS,"SP-11,SP-13",PASS,,,err_pre=1 err_post=1,297df920dab05466b1fc3fc6711346364cd0c459
R11,Reset during pending DMA write,C1,fail-closed,no,no,,global_reset_during_pending,pending cleared; no orphan commit,PASS,SP-12,PASS,,/home/mmr/ricv_paper/results/m4/waveforms/m4_r11_c1_pending_write_reset.fst,,297df920dab05466b1fc3fc6711346364cd0c459
R12,Reset/policy ALLOW→DENY during pending,C1,fail-closed,no,no,,revoke_during_pending,Model A may complete authorized pending txn,MODEL_A_COMPLETE,SP-12A,OBSERVED,EXPECTED_MODEL_DIFFERENCE,,err=0,297df920dab05466b1fc3fc6711346364cd0c459
R13,Repeated reset pulses,C1,fail-closed,no,no,,double_reset,no permissive window,blocked,"SP-08,SP-13",PASS,EXPECTED_BY_MODEL,,err=1; iopmp enabled post-reset,297df920dab05466b1fc3fc6711346364cd0c459
R14,Warm reset (config loss; sec/iopmp domains stay powered),C1,fail-closed,no,no,,rule_invalidation_no_rst_n,protected access blocked,blocked,SP-13,PASS,EXPECTED_BY_MODEL,,domains: rule0_valid cleared; iopmp_enable remains set,297df920dab05466b1fc3fc6711346364cd0c459
R15,Reset immediately after secure_ready,C1,fail-closed,no,no,,reset_after_secure_ready,no early unauthorized write,blocked,SP-08,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R16,secure_ready deasserts with pending DMA,C1,fail-closed,no,no,,iopmp_disable_during_pending,config-dependent (Model A vs epoch),mem_changed,"SP-12A,SP-12B",OBSERVED,EXPECTED_MODEL_DIFFERENCE,/home/mmr/ricv_paper/results/m4/waveforms/m4_r16_c1_secure_ready_deassert.fst,err=0 cfg=C1,297df920dab05466b1fc3fc6711346364cd0c459
R1,DMA recovers before IOPMP/security configured,C2,fail-open,yes,no,post_reset_iopmp_enabled_unconfigured,none,no protected write before secure_ready,blocked,"SP-08,SP-13",PASS,EXPECTED_BY_MODEL,,"dma_error=1; iopmp enabled, rule invalid",297df920dab05466b1fc3fc6711346364cd0c459
R2,IOPMP recovers before DMA,C2,fail-open,yes,no,,config_then_dma,authorized DMA succeeds after secure_ready,PASS,SP-14,PASS,EXPECTED_BY_MODEL,,,297df920dab05466b1fc3fc6711346364cd0c459
R3,Security configuration recovers last,C2,fail-open,yes,no,,pmp_iopmp_on_rule_delayed,pre-ready blocked; post-ready allowed,pre=blocked;post=ok,"SP-08,SP-13,SP-14",PASS,EXPECTED_BY_MODEL,/home/mmr/ricv_paper/results/m4/waveforms/m4_r03_c2_security_config_last.fst,err_pre=1 err_post=0,297df920dab05466b1fc3fc6711346364cd0c459
R4,DMA recovers last,C2,fail-open,yes,no,,secure_ready_then_dma,liveness once secure_ready stable,PASS,SP-14,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R5,CPU-only reset recovery stress,C2,fail-open,yes,no,,unprivileged_cpu_then_dma,unauth CPU blocked; DMA unaffected,cpu_blocked=True dma_err=0,"SP-02,SP-14",PASS,,,single global rst_n model; CPU transaction not reset-isolated,297df920dab05466b1fc3fc6711346364cd0c459
R6,DMA-only reset (global rst during DMA),C2,fail-open,yes,no,,global_reset_during_pending,pending cleared; no orphan commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R7,IOPMP-only reset (iopmp_enable=0),C2,fail-open,yes,no,,iopmp_disable,fail-open may bypass; fail-closed denies,VIOLATION,"SP-08,SP-13",FAIL,RESET_ASSUMPTION_DEPENDENCY,,err=0,297df920dab05466b1fc3fc6711346364cd0c459
R8,Security-config-only invalidation,C2,fail-open,yes,no,,rule0_valid_clear,protected DMA denied without valid rule,blocked,"SP-11,SP-13",PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R9,Reset during authorized DMA,C2,fail-open,yes,no,,reset_mid_transaction_reconfig,no orphan unauthorized commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R10,Reset during denied DMA,C2,fail-open,yes,no,,deny_then_reset,denied cannot become accepted via reset,PASS,"SP-11,SP-13",PASS,,,err_pre=1 err_post=1,297df920dab05466b1fc3fc6711346364cd0c459
R11,Reset during pending DMA write,C2,fail-open,yes,no,,global_reset_during_pending,pending cleared; no orphan commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R12,Reset/policy ALLOW→DENY during pending,C2,fail-open,yes,no,,revoke_during_pending,Model A may complete authorized pending txn,MODEL_A_COMPLETE,SP-12A,OBSERVED,EXPECTED_MODEL_DIFFERENCE,,err=0,297df920dab05466b1fc3fc6711346364cd0c459
R13,Repeated reset pulses,C2,fail-open,yes,no,,double_reset,no permissive window,blocked,"SP-08,SP-13",PASS,EXPECTED_BY_MODEL,,err=1; iopmp enabled post-reset,297df920dab05466b1fc3fc6711346364cd0c459
R14,Warm reset (config loss; sec/iopmp domains stay powered),C2,fail-open,yes,no,,rule_invalidation_no_rst_n,protected access blocked,blocked,SP-13,PASS,EXPECTED_BY_MODEL,,domains: rule0_valid cleared; iopmp_enable remains set,297df920dab05466b1fc3fc6711346364cd0c459
R15,Reset immediately after secure_ready,C2,fail-open,yes,no,,reset_after_secure_ready,no early unauthorized write,blocked,SP-08,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R16,secure_ready deasserts with pending DMA,C2,fail-open,yes,no,,iopmp_disable_during_pending,config-dependent (Model A vs epoch),mem_changed,"SP-12A,SP-12B",OBSERVED,EXPECTED_MODEL_DIFFERENCE,,err=0 cfg=C2,297df920dab05466b1fc3fc6711346364cd0c459
R1,DMA recovers before IOPMP/security configured,C3,fail-open,yes,epoch,post_reset_iopmp_enabled_unconfigured,none,no protected write before secure_ready,blocked,"SP-08,SP-13",PASS,EXPECTED_BY_MODEL,,"dma_error=1; iopmp enabled, rule invalid",297df920dab05466b1fc3fc6711346364cd0c459
R2,IOPMP recovers before DMA,C3,fail-open,yes,epoch,,config_then_dma,authorized DMA succeeds after secure_ready,PASS,SP-14,PASS,EXPECTED_BY_MODEL,,,297df920dab05466b1fc3fc6711346364cd0c459
R3,Security configuration recovers last,C3,fail-open,yes,epoch,,pmp_iopmp_on_rule_delayed,pre-ready blocked; post-ready allowed,pre=blocked;post=ok,"SP-08,SP-13,SP-14",PASS,EXPECTED_BY_MODEL,,err_pre=1 err_post=0,297df920dab05466b1fc3fc6711346364cd0c459
R4,DMA recovers last,C3,fail-open,yes,epoch,,secure_ready_then_dma,liveness once secure_ready stable,PASS,SP-14,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R5,CPU-only reset recovery stress,C3,fail-open,yes,epoch,,unprivileged_cpu_then_dma,unauth CPU blocked; DMA unaffected,cpu_blocked=True dma_err=0,"SP-02,SP-14",PASS,,,single global rst_n model; CPU transaction not reset-isolated,297df920dab05466b1fc3fc6711346364cd0c459
R6,DMA-only reset (global rst during DMA),C3,fail-open,yes,epoch,,global_reset_during_pending,pending cleared; no orphan commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R7,IOPMP-only reset (iopmp_enable=0),C3,fail-open,yes,epoch,,iopmp_disable,fail-open may bypass; fail-closed denies,VIOLATION,"SP-08,SP-13",FAIL,RESET_ASSUMPTION_DEPENDENCY,,err=0,297df920dab05466b1fc3fc6711346364cd0c459
R8,Security-config-only invalidation,C3,fail-open,yes,epoch,,rule0_valid_clear,protected DMA denied without valid rule,blocked,"SP-11,SP-13",PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R9,Reset during authorized DMA,C3,fail-open,yes,epoch,,reset_mid_transaction_reconfig,no orphan unauthorized commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R10,Reset during denied DMA,C3,fail-open,yes,epoch,,deny_then_reset,denied cannot become accepted via reset,PASS,"SP-11,SP-13",PASS,,,err_pre=1 err_post=1,297df920dab05466b1fc3fc6711346364cd0c459
R11,Reset during pending DMA write,C3,fail-open,yes,epoch,,global_reset_during_pending,pending cleared; no orphan commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R12,Reset/policy ALLOW→DENY during pending,C3,fail-open,yes,epoch,,revoke_during_pending,Model A may complete authorized pending txn,MODEL_A_COMPLETE,SP-12A,OBSERVED,EXPECTED_MODEL_DIFFERENCE,,err=0,297df920dab05466b1fc3fc6711346364cd0c459
R13,Repeated reset pulses,C3,fail-open,yes,epoch,,double_reset,no permissive window,blocked,"SP-08,SP-13",PASS,EXPECTED_BY_MODEL,,err=1; iopmp enabled post-reset,297df920dab05466b1fc3fc6711346364cd0c459
R14,Warm reset (config loss; sec/iopmp domains stay powered),C3,fail-open,yes,epoch,,rule_invalidation_no_rst_n,protected access blocked,blocked,SP-13,PASS,EXPECTED_BY_MODEL,,domains: rule0_valid cleared; iopmp_enable remains set,297df920dab05466b1fc3fc6711346364cd0c459
R15,Reset immediately after secure_ready,C3,fail-open,yes,epoch,,reset_after_secure_ready,no early unauthorized write,blocked,SP-08,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R16,secure_ready deasserts with pending DMA,C3,fail-open,yes,epoch,,iopmp_disable_during_pending,config-dependent (Model A vs epoch),mem_changed,"SP-12A,SP-12B",OBSERVED,EXPECTED_MODEL_DIFFERENCE,/home/mmr/ricv_paper/results/m4/waveforms/m4_r16_c3_secure_ready_deassert.fst,err=0 cfg=C3,297df920dab05466b1fc3fc6711346364cd0c459
R1,DMA recovers before IOPMP/security configured,C4,fail-closed,yes,no,post_reset_iopmp_enabled_unconfigured,none,no protected write before secure_ready,blocked,"SP-08,SP-13",PASS,EXPECTED_BY_MODEL,,"dma_error=1; iopmp enabled, rule invalid",297df920dab05466b1fc3fc6711346364cd0c459
R2,IOPMP recovers before DMA,C4,fail-closed,yes,no,,config_then_dma,authorized DMA succeeds after secure_ready,PASS,SP-14,PASS,EXPECTED_BY_MODEL,,,297df920dab05466b1fc3fc6711346364cd0c459
R3,Security configuration recovers last,C4,fail-closed,yes,no,,pmp_iopmp_on_rule_delayed,pre-ready blocked; post-ready allowed,pre=blocked;post=ok,"SP-08,SP-13,SP-14",PASS,EXPECTED_BY_MODEL,,err_pre=1 err_post=0,297df920dab05466b1fc3fc6711346364cd0c459
R4,DMA recovers last,C4,fail-closed,yes,no,,secure_ready_then_dma,liveness once secure_ready stable,PASS,SP-14,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R5,CPU-only reset recovery stress,C4,fail-closed,yes,no,,unprivileged_cpu_then_dma,unauth CPU blocked; DMA unaffected,cpu_blocked=True dma_err=0,"SP-02,SP-14",PASS,,,single global rst_n model; CPU transaction not reset-isolated,297df920dab05466b1fc3fc6711346364cd0c459
R6,DMA-only reset (global rst during DMA),C4,fail-closed,yes,no,,global_reset_during_pending,pending cleared; no orphan commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R7,IOPMP-only reset (iopmp_enable=0),C4,fail-closed,yes,no,,iopmp_disable,N/A when enable=0 bypasses IOPMP block,N/A,"SP-08,SP-13",N/A,EXPECTED_MODEL_DIFFERENCE,,fail-closed applies inside enabled IOPMP; enable=0 bypass documented,297df920dab05466b1fc3fc6711346364cd0c459
R8,Security-config-only invalidation,C4,fail-closed,yes,no,,rule0_valid_clear,protected DMA denied without valid rule,blocked,"SP-11,SP-13",PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R9,Reset during authorized DMA,C4,fail-closed,yes,no,,reset_mid_transaction_reconfig,no orphan unauthorized commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R10,Reset during denied DMA,C4,fail-closed,yes,no,,deny_then_reset,denied cannot become accepted via reset,PASS,"SP-11,SP-13",PASS,,,err_pre=1 err_post=1,297df920dab05466b1fc3fc6711346364cd0c459
R11,Reset during pending DMA write,C4,fail-closed,yes,no,,global_reset_during_pending,pending cleared; no orphan commit,PASS,SP-12,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R12,Reset/policy ALLOW→DENY during pending,C4,fail-closed,yes,no,,revoke_during_pending,Model A may complete authorized pending txn,MODEL_A_COMPLETE,SP-12A,OBSERVED,EXPECTED_MODEL_DIFFERENCE,,err=0,297df920dab05466b1fc3fc6711346364cd0c459
R13,Repeated reset pulses,C4,fail-closed,yes,no,,double_reset,no permissive window,blocked,"SP-08,SP-13",PASS,EXPECTED_BY_MODEL,,err=1; iopmp enabled post-reset,297df920dab05466b1fc3fc6711346364cd0c459
R14,Warm reset (config loss; sec/iopmp domains stay powered),C4,fail-closed,yes,no,,rule_invalidation_no_rst_n,protected access blocked,blocked,SP-13,PASS,EXPECTED_BY_MODEL,,domains: rule0_valid cleared; iopmp_enable remains set,297df920dab05466b1fc3fc6711346364cd0c459
R15,Reset immediately after secure_ready,C4,fail-closed,yes,no,,reset_after_secure_ready,no early unauthorized write,blocked,SP-08,PASS,,,,297df920dab05466b1fc3fc6711346364cd0c459
R16,secure_ready deasserts with pending DMA,C4,fail-closed,yes,no,,iopmp_disable_during_pending,config-dependent (Model A vs epoch),mem_changed,"SP-12A,SP-12B",OBSERVED,EXPECTED_MODEL_DIFFERENCE,,err=0 cfg=C4,297df920dab05466b1fc3fc6711346364cd0c459
